id,ts,user,item,market,loc,amount
u0001_nestle_milk_dmart_pune_2020-01-01,2020-01-01,u0001,nestle_milk,dmart,pune,120.5
u0002_dabur_honey_bigbazaar_delhi_2020-01-02,2020-01-02,u0002,dabur_honey,bigbazaar,delhi,340
u0003_itc_salt_walmart_bangalore_2020-01-03,2020-01-03,u0003,itc_salt,walmart,bangalore,210
u0004_amul_butter_spar_mumbai_2020-01-04,2020-01-04,u0004,amul_butter,spar,mumbai,430
u0005_patanjali_oil_reliancefresh_chennai_2020-01-05,2020-01-05,u0005,patanjali_oil,reliancefresh,chennai,150
u0006_britannia_bread_foodhall_kolkata_2020-01-06,2020-01-06,u0006,britannia_bread,foodhall,kolkata,220
u0007_parle_biscuit_more_pune_2020-01-07,2020-01-07,u0007,parle_biscuit,more,pune,90
u0008_itc_yoghurt_amazonfresh_bangalore_2020-01-08,2020-01-08,u0008,itc_yoghurt,amazonfresh,bangalore,130
u0009_marico_oil_bigbasket_hyderabad_2020-01-09,2020-01-09,u0009,marico_oil,bigbasket,hyderabad,480
u0010_hindustanlever_shampoo_nilgiris_chennai_2020-01-10,2020-01-10,u0010,hindustanlever_shampoo,nilgiris,chennai,310
u0011_dabur_vinegar_dmart_mumbai_2020-01-11,2020-01-11,u0011,dabur_vinegar,dmart,mumbai,140
u0012_nestle_cheese_bigbazaar_pune_2020-01-12,2020-01-12,u0012,nestle_cheese,bigbazaar,pune,390
u0013_amul_milk_walmart_delhi_2020-01-13,2020-01-13,u0013,amul_milk,walmart,delhi,260
u0014_patanjali_flour_reliancefresh_bangalore_2020-01-14,2020-01-14,u0014,patanjali_flour,reliancefresh,bangalore,175
u0015_itc_pulse_more_chennai_2020-01-15,2020-01-15,u0015,itc_pulse,more,chennai,355
u0016_britannia_cake_foodhall_kolkata_2020-01-16,2020-01-16,u0016,britannia_cake,foodhall,kolkata,210
u0017_parle_biscuit_bigbasket_pune_2020-01-17,2020-01-17,u0017,parle_biscuit,bigbasket,pune,95
u0018_dabur_honey_walmart_delhi_2020-01-18,2020-01-18,u0018,dabur_honey,walmart,delhi,375
u0019_nestle_milk_dmart_bangalore_2020-01-19,2020-01-19,u0019,nestle_milk,dmart,bangalore,145
u0020_itc_salt_more_chennai_2020-01-20,2020-01-20,u0020,itc_salt,more,chennai,188
u0021_amul_butter_bigbazaar_mumbai_2020-01-21,2020-01-21,u0021,amul_butter,bigbazaar,mumbai,420
u0022_patanjali_oil_reliancefresh_kolkata_2020-01-22,2020-01-22,u0022,patanjali_oil,reliancefresh,kolkata,260
u0023_britannia_bread_foodhall_hyderabad_2020-01-23,2020-01-23,u0023,britannia_bread,foodhall,hyderabad,215
u0024_marico_oil_amazonfresh_pune_2020-01-24,2020-01-24,u0024,marico_oil,amazonfresh,pune,405
u0025_hindustanlever_shampoo_nilgiris_chennai_2020-01-25,2020-01-25,u0025,hindustanlever_shampoo,nilgiris,chennai,325
u0026_itc_yoghurt_spar_bangalore_2020-01-26,2020-01-26,u0026,itc_yoghurt,spar,bangalore,120
u0027_parle_biscuit_bigbasket_delhi_2020-01-27,2020-01-27,u0027,parle_biscuit,bigbasket,delhi,98
u0028_dabur_vinegar_dmart_mumbai_2020-01-28,2020-01-28,u0028,dabur_vinegar,dmart,mumbai,155
u0029_nestle_cheese_bigbazaar_chennai_2020-01-29,2020-01-29,u0029,nestle_cheese,bigbazaar,chennai,410
u0030_amul_milk_walmart_kolkata_2020-01-30,2020-01-30,u0030,amul_milk,walmart,kolkata,270
u0031_itc_pulse_more_pune_2020-01-31,2020-01-31,u0031,itc_pulse,more,pune,365
u0032_britannia_cake_foodhall_bangalore_2020-02-01,2020-02-01,u0032,britannia_cake,foodhall,bangalore,230
u0033_marico_oil_bigbasket_hyderabad_2020-02-02,2020-02-02,u0033,marico_oil,bigbasket,hyderabad,455
u0034_hindustanlever_shampoo_nilgiris_delhi_2020-02-03,2020-02-03,u0034,hindustanlever_shampoo,nilgiris,delhi,340
u0035_patanjali_flour_reliancefresh_mumbai_2020-02-04,2020-02-04,u0035,patanjali_flour,reliancefresh,mumbai,200
u0036_itc_salt_walmart_bangalore_2020-02-05,2020-02-05,u0036,itc_salt,walmart,bangalore,210
u0037_parle_biscuit_dmart_pune_2020-02-06,2020-02-06,u0037,parle_biscuit,dmart,pune,88
u0038_dabur_honey_bigbazaar_chennai_2020-02-07,2020-02-07,u0038,dabur_honey,bigbazaar,chennai,395
u0039_nestle_milk_spar_mumbai_2020-02-08,2020-02-08,u0039,nestle_milk,spar,mumbai,160
u0040_amul_butter_more_kolkata_2020-02-09,2020-02-09,u0040,amul_butter,more,kolkata,435
u0041_britannia_bread_foodhall_hyderabad_2020-02-10,2020-02-10,u0041,britannia_bread,foodhall,hyderabad,225
u0042_itc_pulse_amazonfresh_pune_2020-02-11,2020-02-11,u0042,itc_pulse,amazonfresh,pune,372
u0043_marico_oil_bigbasket_bangalore_2020-02-12,2020-02-12,u0043,marico_oil,bigbasket,bangalore,470
u0044_hindustanlever_shampoo_nilgiris_chennai_2020-02-13,2020-02-13,u0044,hindustanlever_shampoo,nilgiris,chennai,315
u0045_patanjali_oil_reliancefresh_delhi_2020-02-14,2020-02-14,u0045,patanjali_oil,reliancefresh,delhi,185
u0046_itc_yoghurt_spar_mumbai_2020-02-15,2020-02-15,u0046,itc_yoghurt,spar,mumbai,140
u0047_parle_biscuit_dmart_kolkata_2020-02-16,2020-02-16,u0047,parle_biscuit,dmart,kolkata,92
u0048_dabur_vinegar_bigbazaar_hyderabad_2020-02-17,2020-02-17,u0048,dabur_vinegar,bigbazaar,hyderabad,165
u0049_nestle_cheese_foodhall_pune_2020-02-18,2020-02-18,u0049,nestle_cheese,foodhall,pune,420
u0050_amul_milk_walmart_bangalore_2020-02-19,2020-02-19,u0050,amul_milk,walmart,bangalore,275
